budget_fiscal_year,department_name,fund_name,account_name,adopted_budget_amount,total_expenditures,budget_change_amount,budget_transfer_in_amount,budget_transfer_out_amount,total_budget,encumbrance_amount,pre_encumbrance_amount,budget_uncommitted_amount,account_group_name,fund,account,department
2018,AGING,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,2222382.0,1608157.04,9000.0,0.0,453500.0,1777882.0,93331.0,0.0,76393.96,EXPENSES,100,003040,2
2018,AGING,TITLE VII OLDER AMERICANS ACT,OMBUDSMAN VII A PROGRAM,0.0,87876.0,87876.0,0.0,0.0,87876.0,0.0,0.0,0.0,,564,02PB01,2
2018,AGING,SENIOR HUMAN SERVICES PROGRAM,EVIDENCE BASED PROGRAMS,0.0,292338.0,303447.0,0.0,0.0,303447.0,11109.0,0.0,0.0,,42J,02R340,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,HOME DELIVERED MEALS FOR SENIORS,0.0,2419162.0,2543845.0,0.0,0.0,2543845.0,36122.0,0.0,88561.0,,395,02PQ04,2
2018,AGING,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,3900.0,15943.36,0.0,13300.0,0.0,17200.0,0.0,0.0,1256.64,SALARIES AND BENEFITS,100,001090,2
2018,AGING,OMBUDSMAN INITIATIVE PROGRAM F,STATE HEALTH FACILITIES CITATION PENALTIES,0.0,256193.0,256193.0,0.0,0.0,256193.0,0.0,0.0,0.0,,46V,02PC03,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,PREVENTIVE HEALTH III D,0.0,218106.0,220546.0,0.0,0.0,220546.0,0.0,0.0,2440.0,,395,02PA06,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,HOME DELIVERED MEALS III C2,0.0,2740986.0,2758622.0,0.0,0.0,2758622.0,4814.0,0.0,12822.0,,395,02PA04,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,CONGREGATE MEALS III C1,0.0,4393789.0,4428880.0,0.0,0.0,4428880.0,27418.0,0.0,7673.0,,395,02PA02,2
2018,AGING,OTHER PROGRAMS FOR THE AGING,ENROLLEE WAGES,0.0,1444876.4,1450864.0,0.0,0.0,1450864.0,0.0,0.0,5987.6,,410,021021,2
2018,AGING,GENERAL FUND (GENERAL BUDGET),TRAVEL,8650.0,5347.79,-200.0,0.0,0.0,8450.0,0.0,0.0,3102.21,EXPENSES,100,002130,2
2018,AGING,OTHER PROGRAMS FOR THE AGING,AGING,463113.0,275567.32,-171434.0,0.0,0.0,291679.0,0.0,0.0,16111.68,,410,02P102,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,CONGREGATE MEALS FOR SENIORS,0.0,450641.0,544000.0,0.0,0.0,544000.0,48388.0,0.0,44971.0,,395,02PQ02,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,OTO NSIP CONGREGATE MEALS III C1,0.0,6279.0,6652.0,0.0,0.0,6652.0,373.0,0.0,0.0,,395,02PXX7,2
2018,AGING,HEALTH INS COUNS ADV (HICAP),FINANCIAL ALIGNMENT PROGRAM,0.0,28719.0,164614.0,0.0,0.0,164614.0,0.0,0.0,135895.0,,47Y,02PD03,2
2018,AGING,TITLE VII OLDER AMERICANS ACT,ELDER ABUSE PREV PROGR FOR SENIORS,0.0,2571.0,2571.0,0.0,0.0,2571.0,0.0,0.0,0.0,,564,02PQB2,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,AGING,2361535.0,1632441.16,-264700.0,0.0,0.0,2096835.0,0.0,0.0,464393.84,,395,02P102,2
2018,AGING,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,9125.0,6000.0,1093.0,0.0,0.0,10218.0,0.0,0.0,4218.0,EXPENSES,100,003310,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,NSIP CONGRAGATE MEALS III C1,0.0,524982.0,527631.0,0.0,0.0,527631.0,2649.0,0.0,0.0,,395,02PA07,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,FAMILY CAREGIVER SUPPORT FOR SENIORS,0.0,20827.0,32049.0,0.0,0.0,32049.0,4357.0,0.0,6865.0,,395,02PQ09,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,SOCIAL SERVICES III B,0.0,2420032.0,2538774.0,0.0,0.0,2538774.0,117041.0,0.0,1701.0,,395,02PA01,2
2018,AGING,GENERAL FUND (GENERAL BUDGET),PRINTING AND BINDING,5801.0,13039.63,11987.0,12000.0,2000.0,27788.0,0.0,0.0,14748.37,EXPENSES,100,002120,2
2018,AGING,OMBUDSMAN INITIATIVE PROGRAM F,PUBLIC HEALTH LCPF,0.0,31473.0,31473.0,0.0,0.0,31473.0,0.0,0.0,0.0,,46V,02PC04,2
2018,AGING,HEALTH INS COUNS ADV (HICAP),HICAP 12 MONTH,0.0,362612.0,402384.0,0.0,0.0,402384.0,0.0,0.0,39772.0,,47Y,02PD12,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,PREVENTIVE HEALTH FOR SENIORS,0.0,15720.0,15720.0,0.0,0.0,15720.0,0.0,0.0,0.0,,395,02PQ06,2
2018,AGING,SENIOR HUMAN SERVICES PROGRAM,AGING,0.0,72974.84,129399.0,0.0,0.0,129399.0,0.0,0.0,56424.16,,42J,02P102,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,NSIP HOME DELIVERED MEALS III C2,0.0,532420.0,537683.0,0.0,0.0,537683.0,5263.0,0.0,0.0,,395,02PA08,2
2018,AGING,HEALTH INS COUNS ADV (HICAP),HICAP 3 MONTH,0.0,52433.0,52522.0,0.0,0.0,52522.0,0.0,0.0,89.0,,47Y,02PDD1,2
2018,AGING,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,3856211.0,3214731.4,-142554.0,78075.0,116980.0,3674752.0,0.0,0.0,460020.6,SALARIES AND BENEFITS,100,001010,2
2018,AGING,HEALTH INS COUNS ADV (HICAP),AGING,0.0,53150.2,57079.0,0.0,0.0,57079.0,0.0,0.0,3928.8,,47Y,02P102,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,FAMILY CAREGIVER SUPPORT PROGRAM III E,0.0,712410.0,850740.0,0.0,0.0,850740.0,0.0,0.0,138330.0,,395,02PA09,2
2018,AGING,TITLE VII OLDER AMERICANS ACT,ELDER ABUSE PREVENTION,0.0,51086.0,51086.0,0.0,0.0,51086.0,0.0,0.0,0.0,,564,02PB02,2
2018,AGING,OMBUDSMAN INITIATIVE PROGRAM F,SNF QUALITY AND ACCOUNTABILITY,0.0,149495.0,149495.0,0.0,0.0,149495.0,0.0,0.0,0.0,,46V,02PC02,2
2018,AGING,HEALTH INS COUNS ADV (HICAP),HICAP 9 MONTH,0.0,132406.0,153751.0,0.0,0.0,153751.0,0.0,0.0,21345.0,,47Y,02PD01,2
2018,AGING,HEALTH INS COUNS ADV (HICAP),FINANCIAL ALIGNMENT - NEW,0.0,11181.0,28189.0,0.0,0.0,28189.0,0.0,0.0,17008.0,,47Y,02PDD3,2
2018,AGING,GENERAL FUND (GENERAL BUDGET),OFFICE AND ADMINISTRATIVE,54968.0,54174.84,67364.0,13500.0,3792.0,132040.0,165.55,0.0,77699.61,EXPENSES,100,006010,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,SOCIAL SERVICES FOR SENIORS,0.0,45113.0,45113.0,0.0,0.0,45113.0,0.0,0.0,0.0,,395,02PQ01,2
2018,AGING,SENIOR CITYRIDE PROGRAM FUND,CITYRIDE PROGRAM,0.0,3299549.0,3708000.0,0.0,0.0,3708000.0,284331.0,0.0,124120.0,,599,02P220,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,OTO NSIP HOME DELIVERED MEALS III C2,0.0,6042.0,7020.0,0.0,0.0,7020.0,978.0,0.0,0.0,,395,02PXX8,2
2018,AGING,SENIOR HUMAN SERVICES PROGRAM,EARS,0.0,97189.76,122154.0,0.0,0.0,122154.0,24964.24,0.0,0.0,,42J,02R332,2
2018,AGING,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,222431.0,168805.83,-113074.0,105005.0,0.0,214362.0,0.0,0.0,45556.17,SALARIES AND BENEFITS,100,001070,2
2018,AIRPORTS,AIRPORT INSURANCE TRUST FD ONT,OTHER EXPENDITURES,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,735,041000,4
2018,AIRPORTS,AIRPORT REVENUE,SALARIES GENERAL,0.0,283715954.27,0.0,0.0,0.0,0.0,0.0,0.0,-283715954.27,,700,041010,4
2018,AIRPORTS,AIRPORT REVENUE FUND-ONTARIO,OVERTIME GENERAL,0.0,2039219.64,0.0,0.0,0.0,0.0,0.0,0.0,-2039219.64,,723,041090,4
2018,AIRPORTS,AIRPORT REVENUE,HIRING HALL-BENEFITS,0.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1500000.0,,700,041120,4
2018,AIRPORTS,PASSENGER FACILITY CHARGE -LAX,SALARIES GENERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,71R,041010,4
2018,AIRPORTS,AIRPORT REVENUE,HIRING HALL-SALARIES,0.0,2276545.04,0.0,0.0,0.0,0.0,0.0,0.0,-2276545.04,,700,041100,4
2018,AIRPORTS,PASSENGER FACILITY CHARGE -ONT,OTHER EXPENDITURES,0.0,44840.74,0.0,0.0,0.0,0.0,0.0,0.0,-44840.74,,736,041000,4
2018,AIRPORTS,AIRPORT REVENUE,OVERTIME GENERAL,0.0,35427345.67,0.0,0.0,0.0,0.0,0.0,0.0,-35427345.67,,700,041090,4
2018,AIRPORTS,AIRPORT REVENUE,TRANSPORTATION,0.0,160797.63,0.0,0.0,0.0,0.0,0.0,0.0,-160797.63,,700,043310,4
2018,AIRPORTS,AIRPORT REVENUE FUND-ONTARIO,SALARIES GENERAL,0.0,5909208.56,0.0,0.0,0.0,0.0,0.0,0.0,-5909208.56,,723,041010,4
2018,AIRPORTS,AIRPORT REVENUE,HIRING HALL-OVERTIME,0.0,88645.08,0.0,0.0,0.0,0.0,0.0,0.0,-88645.08,,700,041190,4
2018,AIRPORTS,AIRPORT REVENUE,OTHER EXPENDITURES,0.0,1943900232.25,0.0,0.0,0.0,0.0,0.0,0.0,-1943900232.25,,700,041000,4
2018,AIRPORTS,DEA FEDERAL FORFEIT PROP-LAWA/,OTHER EXPENDITURES,0.0,182140.8,0.0,0.0,0.0,0.0,0.0,0.0,-182140.8,,74L,041000,4
2018,AIRPORTS,AIRPORT REVENUE FUND-ONTARIO,OTHER EXPENDITURES,0.0,8205628.52,0.0,0.0,0.0,0.0,0.0,0.0,-8205628.52,,723,041000,4
2018,AIRPORTS,PASSENGER FACILITY CHARGE -LAX,OTHER EXPENDITURES,0.0,273795496.24,0.0,0.0,0.0,0.0,0.0,0.0,-273795496.24,,71R,041000,4
2018,AIRPORTS,AIRPORT REVENUE,OFFICE & ADM,0.0,187078.71,0.0,0.0,0.0,0.0,0.0,0.0,-187078.71,,700,046010,4
2018,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,7500.0,7269.09,0.0,0.0,0.0,7500.0,0.0,0.0,230.91,EXPENSES,100,003310,6
2018,ANIMAL SERVICES,ANIMAL WELFARE TRUST,DONATION-STAR PROGRAM,0.0,,23619.3,0.0,0.0,23619.3,0.0,0.0,23619.3,,859,060024,6
2018,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,140848.0,170862.46,0.0,50000.0,0.0,190848.0,18343.28,0.0,1642.26,EXPENSES,100,003040,6
2018,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),PRINTING AND BINDING,68000.0,67965.92,0.0,0.0,0.0,68000.0,34.08,0.0,0.0,EXPENSES,100,002120,6
2018,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,300376.0,442347.77,0.0,280000.0,0.0,580376.0,0.0,0.0,138028.23,SALARIES AND BENEFITS,100,001070,6
2018,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),OPERATING SUPPLIES,335546.0,326572.87,0.0,0.0,0.0,335546.0,6605.86,0.0,2367.27,EXPENSES,100,006020,6
2018,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,21472864.0,20536299.63,0.0,0.0,740619.0,20732245.0,0.0,0.0,195945.37,SALARIES AND BENEFITS,100,001010,6
2018,ANIMAL SERVICES,ANIMAL WELFARE TRUST,AVAILABLE,0.0,340846.13,470321.88,0.0,0.0,470321.88,80626.21,0.0,48849.54,,859,06000A,6
2018,ANIMAL SERVICES,ANIMAL WELFARE TRUST,EAST VALLEY SHELTER,0.0,,13397.63,0.0,0.0,13397.63,0.0,0.0,13397.63,,859,060006,6
2018,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),UNIFORMS,27660.0,24297.86,0.0,0.0,0.0,27660.0,2227.92,0.0,1134.22,EXPENSES,100,004430,6
2018,ANIMAL SERVICES,ANIMAL WELFARE TRUST,VENDING SALES,0.0,,6812.74,0.0,0.0,6812.74,0.0,0.0,6812.74,,859,060045,6
2018,ANIMAL SERVICES,ANIMAL WELFARE TRUST,SOUTH LA SHELTER,0.0,,5125.1,0.0,0.0,5125.1,0.0,0.0,5125.1,,859,060005,6
2018,ANIMAL SERVICES,ANIMAL WELFARE TRUST,DONATION-SMART,0.0,,150.0,0.0,0.0,150.0,0.0,0.0,150.0,,859,06023K,6
2018,ANIMAL SERVICES,ANIMAL STERILIZATION,SPAY & NEUTER PROGRAM,0.0,2476296.3,2684981.3,0.0,0.0,2684981.3,171195.0,0.0,37490.0,,842,06005A,6
2018,ANIMAL SERVICES,ANIMAL WELFARE TRUST,WEST LA SHELTER,0.0,,30615.38,0.0,0.0,30615.38,0.0,0.0,30615.38,,859,060007,6
2018,ANIMAL SERVICES,ANIMAL WELFARE TRUST,DONATION-FOSTER,0.0,148.43,600.0,0.0,0.0,600.0,0.0,0.0,451.57,,859,060021,6
2018,ANIMAL SERVICES,ANIMAL WELFARE TRUST,DONATION-SMART,0.0,,54.5,0.0,0.0,54.5,0.0,0.0,54.5,,859,060023,6
