budget_fiscal_year,department_name,fund_name,account_name,adopted_budget_amount,total_expenditures,budget_change_amount,budget_transfer_in_amount,budget_transfer_out_amount,total_budget,encumbrance_amount,pre_encumbrance_amount,budget_uncommitted_amount,account_group_name,fund,account,department
2018,AGING,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,2222382.0,1608157.04,9000.0,0.0,453500.0,1777882.0,93331.0,0.0,76393.96,EXPENSES,100,003040,2
2018,AGING,TITLE VII OLDER AMERICANS ACT,OMBUDSMAN VII A PROGRAM,0.0,87876.0,87876.0,0.0,0.0,87876.0,0.0,0.0,0.0,UNSPECIFIED,564,02PB01,2
2018,AGING,SENIOR HUMAN SERVICES PROGRAM,EVIDENCE BASED PROGRAMS,0.0,292338.0,303447.0,0.0,0.0,303447.0,11109.0,0.0,0.0,UNSPECIFIED,42J,02R340,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,HOME DELIVERED MEALS FOR SENIORS,0.0,2419162.0,2543845.0,0.0,0.0,2543845.0,36122.0,0.0,88561.0,UNSPECIFIED,395,02PQ04,2
2018,AGING,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,3900.0,15943.36,0.0,13300.0,0.0,17200.0,0.0,0.0,1256.64,SALARIES AND BENEFITS,100,001090,2
2018,AGING,OMBUDSMAN INITIATIVE PROGRAM F,STATE HEALTH FACILITIES CITATION PENALTIES,0.0,256193.0,256193.0,0.0,0.0,256193.0,0.0,0.0,0.0,UNSPECIFIED,46V,02PC03,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,PREVENTIVE HEALTH III D,0.0,218106.0,220546.0,0.0,0.0,220546.0,0.0,0.0,2440.0,UNSPECIFIED,395,02PA06,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,HOME DELIVERED MEALS III C2,0.0,2740986.0,2758622.0,0.0,0.0,2758622.0,4814.0,0.0,12822.0,UNSPECIFIED,395,02PA04,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,CONGREGATE MEALS III C1,0.0,4393789.0,4428880.0,0.0,0.0,4428880.0,27418.0,0.0,7673.0,UNSPECIFIED,395,02PA02,2
2018,AGING,OTHER PROGRAMS FOR THE AGING,ENROLLEE WAGES,0.0,1444876.4,1450864.0,0.0,0.0,1450864.0,0.0,0.0,5987.6,UNSPECIFIED,410,021021,2
2018,AGING,GENERAL FUND (GENERAL BUDGET),TRAVEL,8650.0,5347.79,-200.0,0.0,0.0,8450.0,0.0,0.0,3102.21,EXPENSES,100,002130,2
2018,AGING,OTHER PROGRAMS FOR THE AGING,AGING,463113.0,275567.32,-171434.0,0.0,0.0,291679.0,0.0,0.0,16111.68,UNSPECIFIED,410,02P102,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,CONGREGATE MEALS FOR SENIORS,0.0,450641.0,544000.0,0.0,0.0,544000.0,48388.0,0.0,44971.0,UNSPECIFIED,395,02PQ02,2
2018,AGING,AREA PLAN FOR THE AGING TIT 7,OTO NSIP CONGREGATE MEALS III C1,0.0,6279.0,6652.0,0.0,0.0,6652.0,373.0,0.0,0.0,UNSPECIFIED,395,02PXX7,2
2018,AGING,HEALTH INS COUNS ADV (HICAP),FINANCIAL ALIGNMENT PROGRAM,0.0,28719.0,164614.0,0.0,0.0,164614.0,0.0,0.0,135895.0,UNSPECIFIED,47Y,02PD03,2
2018,AGING,TITLE VII OLDER AMERICANS ACT,ELDER ABUSE PREV PROGR FOR SENIORS,0.0,2571.0,2571.0,0.0,0.0,2571.0,0.0,0.0,0.0,UNSPECIFIED,564,02PQB2,2
